iso3,district_id,district_name,region,year,pf_incidence_rate,pf_incidence_min,pf_incidence_max,precipitation_sum_mm,rainy_season_precip_mm,precip_anomaly_mm,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean
BEN,BEN.1.1_1,Banikoara,Alibori,2000,0.3729,0.34225,0.42516,701.1,691.9,-42.88,27.91,34.06,22.24,47.79
BEN,BEN.1.1_1,Banikoara,Alibori,2001,0.42312,0.38686,0.47832,750.9,738.7,6.92,28.14,34.5,22.29,45.58
BEN,BEN.1.1_1,Banikoara,Alibori,2002,0.46271,0.42796,0.52209,798.7,785.1,54.72,28.2,34.34,22.56,49.02
BEN,BEN.1.1_1,Banikoara,Alibori,2003,0.49202,0.45033,0.55093,762.3,721.4,18.32,28.32,34.37,22.77,49.89
BEN,BEN.1.1_1,Banikoara,Alibori,2004,0.51685,0.47814,0.57409,579.7,543.2,-164.28,28.49,34.67,22.88,48.66
BEN,BEN.1.1_1,Banikoara,Alibori,2005,0.53727,0.49548,0.58873,764.9,735.5,20.92,28.75,34.82,23.18,48.27
BEN,BEN.1.1_1,Banikoara,Alibori,2006,0.54474,0.50385,0.59856,665.1,658.8,-78.88,28.76,35.0,23.06,46.08
BEN,BEN.1.1_1,Banikoara,Alibori,2007,0.54024,0.49446,0.5972,604.5,580.3,-139.48,28.37,34.6,22.73,47.02
BEN,BEN.1.1_1,Banikoara,Alibori,2008,0.53163,0.47733,0.59164,743.2,740.2,-0.78,27.86,34.04,22.16,47.17
BEN,BEN.1.1_1,Banikoara,Alibori,2009,0.54063,0.48195,0.59545,727.6,720.4,-16.38,28.61,34.74,23.06,49.84
BEN,BEN.1.1_1,Banikoara,Alibori,2010,0.552,0.49424,0.59746,802.3,754.8,58.32,28.51,34.53,23.02,50.8
BEN,BEN.1.1_1,Banikoara,Alibori,2011,0.54285,0.48202,0.5869,533.9,520.6,-210.08,28.75,35.04,22.94,46.42
BEN,BEN.1.1_1,Banikoara,Alibori,2012,0.53628,0.46804,0.58005,1103.8,1077.5,359.82,27.93,33.86,22.55,52.52
BEN,BEN.1.1_1,Banikoara,Alibori,2013,0.51092,0.42108,0.55571,655.7,614.4,-88.28,28.33,34.23,23.04,52.12
BEN,BEN.1.1_1,Banikoara,Alibori,2014,0.48351,0.39132,0.52496,741.3,681.9,-2.68,28.42,34.41,22.96,50.78
BEN,BEN.1.1_1,Banikoara,Alibori,2015,0.45902,0.38901,0.51723,782.8,763.3,38.82,28.43,34.52,22.86,47.07
BEN,BEN.1.1_1,Banikoara,Alibori,2016,0.44944,0.35479,0.52658,737.2,673.7,-6.78,28.76,34.82,23.23,49.45
BEN,BEN.1.1_1,Banikoara,Alibori,2017,0.43585,0.32136,0.51439,710.3,708.0,-33.68,28.22,34.17,23.12,47.16
BEN,BEN.1.1_1,Banikoara,Alibori,2018,0.43866,0.31642,0.51433,694.2,660.6,-49.78,27.88,33.69,23.03,51.51
BEN,BEN.1.1_1,Banikoara,Alibori,2019,0.44527,0.3318,0.49897,749.3,734.0,5.32,28.35,34.1,23.39,50.52
BEN,BEN.1.1_1,Banikoara,Alibori,2020,0.42625,0.32979,0.4919,706.9,703.8,-37.08,28.2,33.81,23.26,49.07
BEN,BEN.1.1_1,Banikoara,Alibori,2021,0.42118,0.34944,0.48733,517.1,514.9,-226.88,28.45,34.21,23.39,46.92
BEN,BEN.1.1_1,Banikoara,Alibori,2022,0.40699,0.36528,0.45862,875.6,845.8,131.62,27.45,33.21,22.57,48.95
BEN,BEN.1.1_1,Banikoara,Alibori,2023,0.39024,0.35942,0.43878,678.1,654.7,-65.88,28.49,34.37,23.36,47.45
BEN,BEN.1.1_1,Banikoara,Alibori,2024,0.388,0.3559,0.42266,1076.2,1043.2,332.22,27.99,33.81,23.18,49.56
BEN,BEN.1.1_1,Banikoara,Alibori,2025,0.37911,0.34668,0.40681,880.8,875.6,136.82,27.77,33.63,23.09,54.1
BEN,BEN.1.2_1,Gogounou,Alibori,2000,0.38983,0.35599,0.42859,874.6,862.3,12.95,27.42,33.5,21.83,51.84
BEN,BEN.1.2_1,Gogounou,Alibori,2001,0.43592,0.40382,0.47997,915.6,888.6,53.95,27.73,34.05,21.8,49.1
BEN,BEN.1.2_1,Gogounou,Alibori,2002,0.47115,0.44121,0.51151,991.2,970.9,129.55,27.72,33.81,22.22,52.88
BEN,BEN.1.2_1,Gogounou,Alibori,2003,0.49799,0.46172,0.52982,983.7,925.6,122.05,28.01,34.09,22.45,52.73
BEN,BEN.1.2_1,Gogounou,Alibori,2004,0.52351,0.48977,0.54881,744.5,687.6,-117.15,28.12,34.33,22.52,51.59
BEN,BEN.1.2_1,Gogounou,Alibori,2005,0.54085,0.51081,0.56629,819.6,789.2,-42.05,28.44,34.57,22.89,51.36
BEN,BEN.1.2_1,Gogounou,Alibori,2006,0.54775,0.51653,0.57407,772.0,766.0,-89.65,28.31,34.53,22.62,50.19
BEN,BEN.1.2_1,Gogounou,Alibori,2007,0.54344,0.49681,0.57454,696.4,662.8,-165.25,28.0,34.28,22.4,50.07
BEN,BEN.1.2_1,Gogounou,Alibori,2008,0.52606,0.46489,0.56336,877.0,874.3,15.35,27.6,33.83,21.9,50.18
BEN,BEN.1.2_1,Gogounou,Alibori,2009,0.51554,0.44176,0.56188,913.5,907.6,51.85,28.37,34.58,22.74,52.34
BEN,BEN.1.2_1,Gogounou,Alibori,2010,0.50416,0.40988,0.57252,937.6,890.1,75.95,28.04,34.06,22.65,54.41
BEN,BEN.1.2_1,Gogounou,Alibori,2011,0.4716,0.37166,0.55977,651.8,629.4,-209.85,28.33,34.67,22.59,49.99
BEN,BEN.1.2_1,Gogounou,Alibori,2012,0.44333,0.3384,0.53781,1302.2,1253.5,440.55,27.65,33.65,22.27,55.11
