iso3,district_id,district_name,region,year,precipitation_sum_mm,rainy_season_precip_mm,precip_anomaly_mm,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean
TGO,TGO_TGO.1.1_2,Blitta,Centre,2000,1430.9,1319.1,109.13,25.57,31.39,20.96,69.43
TGO,TGO_TGO.1.1_2,Blitta,Centre,2001,1028.6,890.1,-293.17,25.73,31.44,21.2,69.42
TGO,TGO_TGO.1.1_2,Blitta,Centre,2002,1404.4,1155.8,82.63,25.56,31.13,21.25,71.59
TGO,TGO_TGO.1.1_2,Blitta,Centre,2003,1269.2,1064.7,-52.57,25.88,31.51,21.59,72.48
TGO,TGO_TGO.1.1_2,Blitta,Centre,2004,1265.9,993.7,-55.87,25.61,31.28,21.31,73.76
TGO,TGO_TGO.1.1_2,Blitta,Centre,2005,1267.4,1059.2,-54.37,25.79,31.41,21.56,72.67
TGO,TGO_TGO.1.1_2,Blitta,Centre,2006,1251.7,1105.0,-70.07,25.86,31.47,21.6,71.14
TGO,TGO_TGO.1.1_2,Blitta,Centre,2007,1394.0,1263.5,72.23,25.72,31.45,21.25,70.14
TGO,TGO_TGO.1.1_2,Blitta,Centre,2008,1061.6,969.9,-260.17,25.7,31.58,21.15,68.71
TGO,TGO_TGO.1.1_2,Blitta,Centre,2009,1198.7,1010.7,-123.07,25.78,31.44,21.52,73.48
TGO,TGO_TGO.1.1_2,Blitta,Centre,2010,1287.2,1154.8,-34.57,25.98,31.51,21.72,72.76
TGO,TGO_TGO.1.1_2,Blitta,Centre,2011,1258.2,1053.2,-63.57,25.56,31.21,21.21,71.78
TGO,TGO_TGO.1.1_2,Blitta,Centre,2012,1359.0,1116.4,37.23,25.4,30.94,21.17,72.9
TGO,TGO_TGO.1.1_2,Blitta,Centre,2013,1252.2,1020.7,-69.57,25.74,31.38,21.5,72.15
TGO,TGO_TGO.1.1_2,Blitta,Centre,2014,1293.0,1053.4,-28.77,25.63,31.17,21.55,74.7
TGO,TGO_TGO.1.1_2,Blitta,Centre,2015,1151.0,1002.7,-170.77,25.82,31.51,21.45,70.55
TGO,TGO_TGO.1.1_2,Blitta,Centre,2016,1536.7,1188.9,214.93,26.07,31.63,21.74,71.1
TGO,TGO_TGO.1.1_2,Blitta,Centre,2017,1357.8,1228.0,36.03,26.41,32.37,21.93,67.43
TGO,TGO_TGO.1.1_2,Blitta,Centre,2018,1476.4,1282.3,154.63,25.83,31.62,21.61,69.23
TGO,TGO_TGO.1.1_2,Blitta,Centre,2019,1758.4,1545.4,436.63,26.16,32.03,22.03,71.37
TGO,TGO_TGO.1.1_2,Blitta,Centre,2020,1262.1,1089.6,-59.67,26.1,32.07,21.57,67.95
TGO,TGO_TGO.1.1_2,Blitta,Centre,2021,1322.8,1163.8,1.03,26.17,32.23,21.59,68.65
TGO,TGO_TGO.1.1_2,Blitta,Centre,2022,1441.6,1217.6,119.83,25.5,31.65,20.89,67.72
TGO,TGO_TGO.1.1_2,Blitta,Centre,2023,1653.2,1497.7,331.43,25.81,32.15,21.28,69.71
TGO,TGO_TGO.1.1_2,Blitta,Centre,2024,1243.5,1115.2,-78.27,26.39,32.89,21.6,65.81
TGO,TGO_TGO.1.1_2,Blitta,Centre,2025,1140.4,970.3,-181.37,26.46,31.97,22.15,69.05
TGO,TGO_TGO.1.2_2,Mô,Centre,2000,1550.4,1374.1,100.95,26.85,32.95,22.28,69.31
TGO,TGO_TGO.1.2_2,Mô,Centre,2001,1096.2,933.7,-353.25,27.08,33.05,22.53,68.67
TGO,TGO_TGO.1.2_2,Mô,Centre,2002,1490.6,1223.1,41.15,26.98,32.8,22.65,70.45
TGO,TGO_TGO.1.2_2,Mô,Centre,2003,1548.3,1246.7,98.85,27.09,32.91,22.88,72.96
TGO,TGO_TGO.1.2_2,Mô,Centre,2004,1593.7,1289.3,144.25,26.92,32.75,22.72,73.86
TGO,TGO_TGO.1.2_2,Mô,Centre,2005,1444.7,1196.7,-4.75,27.1,32.92,22.96,72.71
TGO,TGO_TGO.1.2_2,Mô,Centre,2006,1423.5,1261.9,-25.95,27.14,32.89,22.89,71.25
TGO,TGO_TGO.1.2_2,Mô,Centre,2007,1647.9,1432.2,198.45,27.01,32.94,22.62,69.99
TGO,TGO_TGO.1.2_2,Mô,Centre,2008,1323.1,1200.1,-126.35,27.01,33.11,22.5,68.66
TGO,TGO_TGO.1.2_2,Mô,Centre,2009,1570.4,1213.0,120.95,27.06,32.87,22.88,73.51
TGO,TGO_TGO.1.2_2,Mô,Centre,2010,1569.4,1340.2,119.95,27.23,32.89,23.05,73.1
TGO,TGO_TGO.1.2_2,Mô,Centre,2011,1400.9,1229.3,-48.55,27.07,32.94,22.73,70.78
TGO,TGO_TGO.1.2_2,Mô,Centre,2012,1622.0,1255.8,172.55,26.7,32.32,22.58,73.01
TGO,TGO_TGO.1.2_2,Mô,Centre,2013,1539.1,1201.6,89.65,27.0,32.8,22.84,72.1
TGO,TGO_TGO.1.2_2,Mô,Centre,2014,1689.2,1401.0,239.75,27.02,32.73,22.96,73.67
TGO,TGO_TGO.1.2_2,Mô,Centre,2015,1391.5,1168.3,-57.95,27.11,32.98,22.81,70.27
TGO,TGO_TGO.1.2_2,Mô,Centre,2016,1761.9,1337.7,312.45,27.47,33.32,23.11,70.31
TGO,TGO_TGO.1.2_2,Mô,Centre,2017,1185.3,1098.3,-264.15,27.14,33.54,22.74,67.58
TGO,TGO_TGO.1.2_2,Mô,Centre,2018,1448.2,1236.7,-1.25,26.56,32.76,22.35,69.93
TGO,TGO_TGO.1.2_2,Mô,Centre,2019,1418.8,1244.3,-30.65,27.06,33.17,22.89,69.84
TGO,TGO_TGO.1.2_2,Mô,Centre,2020,1315.8,1152.3,-133.65,27.19,33.53,22.68,66.36
TGO,TGO_TGO.1.2_2,Mô,Centre,2021,1077.8,955.2,-371.65,27.3,33.93,22.76,66.15
TGO,TGO_TGO.1.2_2,Mô,Centre,2022,1453.6,1214.4,4.15,26.67,33.46,22.06,65.61
TGO,TGO_TGO.1.2_2,Mô,Centre,2023,1748.3,1533.6,298.85,26.96,33.85,22.48,68.08
TGO,TGO_TGO.1.2_2,Mô,Centre,2024,1290.6,1165.2,-158.85,27.54,34.39,22.82,63.87
TGO,TGO_TGO.1.2_2,Mô,Centre,2025,1084.4,952.4,-365.05,27.39,32.79,23.32,67.76
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2000,1552.9,1461.2,163.1,25.89,32.1,21.16,67.83
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2001,1136.0,981.1,-253.8,26.1,32.17,21.37,67.3
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2002,1466.6,1277.1,76.8,25.94,31.86,21.5,69.82
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2003,1429.4,1225.1,39.6,26.19,32.16,21.76,71.34
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2004,1349.7,1084.9,-40.1,25.96,31.92,21.6,72.57
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2005,1320.6,1119.3,-69.2,26.17,32.14,21.83,71.21
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2006,1397.6,1261.4,7.8,26.18,32.09,21.77,69.95
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2007,1485.7,1347.3,95.9,26.06,32.12,21.49,68.61
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2008,1256.4,1156.8,-133.4,26.05,32.24,21.38,67.25
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2009,1435.4,1229.1,45.6,26.15,32.14,21.79,72.03
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2010,1545.5,1395.7,155.7,26.29,32.1,21.94,71.65
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2011,1242.8,1070.2,-147.0,25.99,31.98,21.5,70.04
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2012,1388.1,1166.2,-1.7,25.71,31.52,21.42,72.13
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2013,1537.3,1282.3,147.5,26.03,32.03,21.73,71.35
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2014,1610.2,1322.4,220.4,25.97,31.87,21.75,73.29
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2015,1320.2,1169.1,-69.6,26.12,32.06,21.7,69.58
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2016,1639.4,1311.8,249.6,26.49,32.41,22.01,69.33
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2017,1271.9,1137.1,-117.9,26.04,32.48,21.48,67.21
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2018,1494.4,1259.1,104.6,25.38,31.61,21.15,70.34
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2019,1537.7,1315.2,147.9,25.8,32.03,21.65,71.12
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2020,1284.0,1156.2,-105.8,25.8,32.16,21.19,67.47
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2021,1198.8,1094.5,-191.0,25.77,32.24,21.2,68.54
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2022,1345.6,1178.8,-44.2,25.25,31.88,20.63,66.91
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2023,1540.5,1402.7,150.7,25.63,32.44,21.1,68.95
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2024,1153.4,1016.3,-236.4,26.16,32.94,21.48,65.42
TGO,TGO_TGO.1.3_2,Sotouboua,Centre,2025,1194.8,1055.5,-195.0,26.1,31.52,21.8,68.59
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2000,1553.9,1463.0,180.18,26.32,32.75,21.5,65.38
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2001,1251.4,1091.3,-122.32,26.43,32.72,21.65,65.85
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2002,1581.0,1386.7,207.28,26.36,32.5,21.85,67.93
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2003,1487.8,1300.5,114.08,26.6,32.83,22.02,68.93
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2004,1325.3,1070.6,-48.42,26.37,32.52,21.81,70.15
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2005,1264.4,1073.6,-109.32,26.59,32.76,22.06,68.59
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2006,1431.7,1320.1,57.98,26.54,32.7,21.97,68.11
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2007,1405.5,1252.5,31.78,26.43,32.69,21.78,66.75
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2008,1292.4,1201.2,-81.32,26.48,32.82,21.74,64.77
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2009,1425.7,1213.5,51.98,26.62,32.86,22.05,69.48
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2010,1491.2,1358.8,117.48,26.65,32.74,22.21,69.62
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2011,1239.4,1086.7,-134.32,26.42,32.66,21.81,67.2
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2012,1487.5,1297.3,113.78,26.16,32.22,21.76,70.19
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2013,1365.7,1153.2,-8.02,26.59,32.79,22.08,68.57
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2014,1482.6,1247.3,108.88,26.52,32.65,22.09,70.42
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2015,1332.1,1183.2,-41.62,26.62,32.76,22.1,66.97
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2016,1572.1,1261.5,198.38,26.85,33.0,22.38,67.78
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2017,1138.0,1058.1,-235.72,26.63,33.32,21.85,66.87
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2018,1549.2,1335.6,175.48,25.91,32.4,21.52,69.99
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2019,1639.5,1501.6,265.78,26.29,32.66,21.96,70.86
TGO,TGO_TGO.1.4_2,Tchamba,Centre,2020,1255.9,1137.9,-117.82,26.28,32.76,21.64,67.1
