iso3,district_id,district_name,region,year,pf_incidence_rate,pf_incidence_min,pf_incidence_max
BEN,BEN.1.1_1,Banikoara,Alibori,2000,0.3729,0.34225,0.42516
BEN,BEN.1.1_1,Banikoara,Alibori,2001,0.42312,0.38686,0.47832
BEN,BEN.1.1_1,Banikoara,Alibori,2002,0.46271,0.42796,0.52209
BEN,BEN.1.1_1,Banikoara,Alibori,2003,0.49202,0.45033,0.55093
BEN,BEN.1.1_1,Banikoara,Alibori,2004,0.51685,0.47814,0.57409
BEN,BEN.1.1_1,Banikoara,Alibori,2005,0.53727,0.49548,0.58873
BEN,BEN.1.1_1,Banikoara,Alibori,2006,0.54474,0.50385,0.59856
BEN,BEN.1.1_1,Banikoara,Alibori,2007,0.54024,0.49446,0.5972
BEN,BEN.1.1_1,Banikoara,Alibori,2008,0.53163,0.47733,0.59164
BEN,BEN.1.1_1,Banikoara,Alibori,2009,0.54063,0.48195,0.59545
BEN,BEN.1.1_1,Banikoara,Alibori,2010,0.552,0.49424,0.59746
BEN,BEN.1.1_1,Banikoara,Alibori,2011,0.54285,0.48202,0.5869
BEN,BEN.1.1_1,Banikoara,Alibori,2012,0.53628,0.46804,0.58005
BEN,BEN.1.1_1,Banikoara,Alibori,2013,0.51092,0.42108,0.55571
BEN,BEN.1.1_1,Banikoara,Alibori,2014,0.48351,0.39132,0.52496
BEN,BEN.1.1_1,Banikoara,Alibori,2015,0.45902,0.38901,0.51723
BEN,BEN.1.1_1,Banikoara,Alibori,2016,0.44944,0.35479,0.52658
BEN,BEN.1.1_1,Banikoara,Alibori,2017,0.43585,0.32136,0.51439
BEN,BEN.1.1_1,Banikoara,Alibori,2018,0.43866,0.31642,0.51433
BEN,BEN.1.1_1,Banikoara,Alibori,2019,0.44527,0.3318,0.49897
BEN,BEN.1.1_1,Banikoara,Alibori,2020,0.42625,0.32979,0.4919
BEN,BEN.1.1_1,Banikoara,Alibori,2021,0.42118,0.34944,0.48733
BEN,BEN.1.1_1,Banikoara,Alibori,2022,0.40699,0.36528,0.45862
BEN,BEN.1.1_1,Banikoara,Alibori,2023,0.39024,0.35942,0.43878
